feature_a,feature_b,spearman_rho,abs_rho
apg_c2,apg_integrated_2_6,-0.9910773241229816,0.9910773241229816
apg_d_4_0,apg_d_6_0,0.9893820652620133,0.9893820652620133
apg_pr,apg_d_6_0,0.9893820652620133,0.9893820652620133
apg_c2,apg_d_6_0,-0.9893820652620133,0.9893820652620133
program_apg_d_3_0,program_apg_d_5_0,0.9888305648261201,0.9888305648261201
apg_d_2_5,apg_d_4_0,0.9887248065179396,0.9887248065179396
apg_c2,apg_d_2_5,-0.9887248065179396,0.9887248065179396
apg_pr,apg_d_2_5,0.9887248065179396,0.9887248065179396
program_apg_pr,program_apg_d_2_5,0.9870754273960625,0.9870754273960625
program_apg_c2,program_apg_d_2_5,-0.9870754273960625,0.9870754273960625
program_apg_d_2_5,program_apg_d_4_0,0.9870754273960625,0.9870754273960625
program_apg_cmax,program_apg_d_5_0,-0.9866324953709625,0.9866324953709625
program_apg_neff,program_apg_d_3_0,0.9856682202019946,0.9856682202019946
program_apg_entropy_norm,program_apg_d_3_0,0.9856682202019946,0.9856682202019946
program_apg_d_2_5,program_apg_integrated_2_6,0.9855856086986925,0.9855856086986925
apg_pr,apg_d_2_25,0.9847881211496123,0.9847881211496123
apg_d_2_25,apg_d_4_0,0.9847881211496123,0.9847881211496123
apg_c2,apg_d_2_25,-0.9847881211496123,0.9847881211496123
apg_d_3_0,apg_d_5_0,0.9833036438337072,0.9833036438337072
program_apg_d_3_0,program_apg_d_6_0,0.9826492124855416,0.9826492124855416
apg_entropy_norm,apg_c2,-0.9804119033608863,0.9804119033608863
apg_entropy_norm,apg_d_4_0,0.9804119033608863,0.9804119033608863
apg_c2,apg_neff,-0.9804119033608863,0.9804119033608863
apg_neff,apg_pr,0.9804119033608863,0.9804119033608863
apg_neff,apg_d_4_0,0.9804119033608863,0.9804119033608863
apg_entropy_norm,apg_pr,0.9804119033608863,0.9804119033608863
program_apg_d_2_25,program_apg_d_4_0,0.9794094368910494,0.9794094368910494
program_apg_pr,program_apg_d_2_25,0.9794094368910494,0.9794094368910494
program_apg_c2,program_apg_d_2_25,-0.9794094368910494,0.9794094368910494
program_apg_cmax,program_apg_integrated_2_6,-0.979094863337812,0.979094863337812
program_apg_d_2_25,program_apg_integrated_2_6,0.9776480796661495,0.9776480796661495
program_apg_d_2_5,program_apg_d_5_0,0.9771435715370355,0.9771435715370355
program_apg_cmax,program_apg_c2,0.9769997084740109,0.9769997084740109
program_apg_cmax,program_apg_d_4_0,-0.9769997084740109,0.9769997084740109
program_apg_cmax,program_apg_pr,-0.9769997084740109,0.9769997084740109
apg_d_5_0,apg_integrated_2_6,0.9767057016407642,0.9767057016407642
apg_d_2_5,apg_d_5_0,0.9730427127665457,0.9730427127665457
apg_d_3_0,apg_d_6_0,0.9706682134409964,0.9706682134409964
program_apg_d_2_5,program_apg_d_6_0,0.9691195076715424,0.9691195076715424
program_apg_entropy_norm,program_apg_c2,-0.9679230739450997,0.9679230739450997
program_apg_neff,program_apg_d_4_0,0.9679230739450997,0.9679230739450997
program_apg_entropy_norm,program_apg_d_4_0,0.9679230739450997,0.9679230739450997
program_apg_neff,program_apg_pr,0.9679230739450997,0.9679230739450997
program_apg_c2,program_apg_neff,-0.9679230739450997,0.9679230739450997
program_apg_entropy_norm,program_apg_pr,0.9679230739450997,0.9679230739450997
program_apg_d_2_25,program_apg_d_5_0,0.9676977328657467,0.9676977328657467
apg_d_2_25,apg_d_5_0,0.9672332268611628,0.9672332268611628
program_apg_neff,program_apg_integrated_2_6,0.965879985466762,0.965879985466762
program_apg_entropy_norm,program_apg_integrated_2_6,0.965879985466762,0.965879985466762
apg_d_6_0,apg_integrated_2_6,0.9623264214129986,0.9623264214129986
apg_neff,apg_d_5_0,0.9610726537432288,0.9610726537432288
apg_entropy_norm,apg_d_5_0,0.9610726537432288,0.9610726537432288
program_apg_d_2_25,program_apg_d_6_0,0.9586281149120196,0.9586281149120196
apg_d_2_5,apg_d_6_0,0.9577892385324521,0.9577892385324521
program_apg_cmax,program_apg_d_3_0,-0.9576392529944165,0.9576392529944165
program_apg_entropy_norm,program_apg_d_5_0,0.9542349825212267,0.9542349825212267
program_apg_neff,program_apg_d_5_0,0.9542349825212267,0.9542349825212267
apg_d_2_25,apg_d_6_0,0.9507607552218202,0.9507607552218202
program_apg_entropy_norm,program_apg_d_6_0,0.9440051531757859,0.9440051531757859
program_apg_neff,program_apg_d_6_0,0.9440051531757859,0.9440051531757859
apg_entropy_norm,apg_d_6_0,0.9434473032152662,0.9434473032152662
apg_neff,apg_d_6_0,0.9434473032152662,0.9434473032152662
program_apg_cmax,program_apg_d_2_5,-0.9397552568349249,0.9397552568349249
program_apg_cmax,program_apg_d_2_25,-0.9267397610295154,0.9267397610295154
program_apg_entropy_norm,program_apg_cmax,-0.9092974560972213,0.9092974560972213
program_apg_cmax,program_apg_neff,-0.9092974560972213,0.9092974560972213
apg_cmax,apg_d_2_25,-0.7817842853371407,0.7817842853371407
apg_cmax,apg_neff,-0.7817436881986984,0.7817436881986984
apg_entropy_norm,apg_cmax,-0.7817436881986984,0.7817436881986984
apg_cmax,apg_integrated_2_6,-0.7816917365525327,0.7816917365525327
apg_cmax,apg_d_2_5,-0.7815952331016902,0.7815952331016902
apg_cmax,apg_d_3_0,-0.7802652614658266,0.7802652614658266
apg_cmax,apg_pr,-0.7752389934292967,0.7752389934292967
apg_cmax,apg_d_4_0,-0.7752389934292967,0.7752389934292967
apg_cmax,apg_c2,0.7752389934292967,0.7752389934292967
apg_cmax,apg_d_6_0,-0.771273341278646,0.771273341278646
apg_cmax,apg_d_5_0,-0.7706879714370842,0.7706879714370842
apg_d_6_0,program_apg_neff,0.4691729805081831,0.4691729805081831
apg_d_6_0,program_apg_entropy_norm,0.4691729805081831,0.4691729805081831
apg_d_6_0,program_apg_d_2_25,0.4544339114237967,0.4544339114237967
apg_d_5_0,program_apg_neff,0.4462459627736248,0.4462459627736248
apg_d_5_0,program_apg_entropy_norm,0.4462459627736248,0.4462459627736248
apg_d_6_0,program_apg_d_2_5,0.4423601810748454,0.4423601810748454
apg_d_5_0,program_apg_d_2_25,0.43118728930731326,0.43118728930731326
apg_d_6_0,program_apg_d_3_0,0.4241069405986021,0.4241069405986021
apg_d_5_0,program_apg_d_2_5,0.4189289499158489,0.4189289499158489
apg_d_4_0,program_apg_entropy_norm,0.4126032312454678,0.4126032312454678
apg_d_4_0,program_apg_neff,0.4126032312454678,0.4126032312454678
apg_pr,program_apg_entropy_norm,0.4126032312454678,0.4126032312454678
apg_pr,program_apg_neff,0.4126032312454678,0.4126032312454678
apg_c2,program_apg_neff,-0.4126032312454678,0.4126032312454678
apg_c2,program_apg_entropy_norm,-0.4126032312454678,0.4126032312454678
apg_d_6_0,program_apg_pr,0.4006192523467394,0.4006192523467394
apg_d_6_0,program_apg_c2,-0.4006192523467394,0.4006192523467394
apg_d_6_0,program_apg_d_4_0,0.4006192523467394,0.4006192523467394
apg_d_5_0,program_apg_d_3_0,0.4004718214730653,0.4004718214730653
apg_d_6_0,program_apg_integrated_2_6,0.39905736453223745,0.39905736453223745
apg_c2,program_apg_d_2_25,-0.397203041598282,0.397203041598282
apg_d_4_0,program_apg_d_2_25,0.397203041598282,0.397203041598282
apg_pr,program_apg_d_2_25,0.397203041598282,0.397203041598282
apg_d_6_0,program_apg_d_5_0,0.38553953575201355,0.38553953575201355
apg_c2,program_apg_d_2_5,-0.384767083925894,0.384767083925894
apg_d_4_0,program_apg_d_2_5,0.384767083925894,0.384767083925894
apg_pr,program_apg_d_2_5,0.384767083925894,0.384767083925894
apg_d_5_0,program_apg_pr,0.37675292117939585,0.37675292117939585
apg_d_5_0,program_apg_d_4_0,0.37675292117939585,0.37675292117939585
apg_d_5_0,program_apg_c2,-0.37675292117939585,0.37675292117939585
apg_d_5_0,program_apg_integrated_2_6,0.3751653248302957,0.3751653248302957
apg_d_6_0,program_apg_d_6_0,0.37490977544324716,0.37490977544324716
apg_d_3_0,program_apg_neff,0.36986390286852777,0.36986390286852777
apg_d_3_0,program_apg_entropy_norm,0.36986390286852777,0.36986390286852777
apg_c2,program_apg_d_3_0,-0.3661159498108822,0.3661159498108822
apg_pr,program_apg_d_3_0,0.3661159498108822,0.3661159498108822
apg_d_4_0,program_apg_d_3_0,0.3661159498108822,0.3661159498108822
apg_d_5_0,program_apg_d_5_0,0.3615139534516116,0.3615139534516116
apg_integrated_2_6,program_apg_neff,0.3548044713173152,0.3548044713173152
apg_integrated_2_6,program_apg_entropy_norm,0.3548044713173152,0.3548044713173152
apg_d_3_0,program_apg_d_2_25,0.3542057504238378,0.3542057504238378
apg_d_5_0,program_apg_d_6_0,0.3507589743592548,0.3507589743592548
apg_d_2_5,program_apg_entropy_norm,0.3470739502007987,0.3470739502007987
apg_d_2_5,program_apg_neff,0.3470739502007987,0.3470739502007987
apg_d_4_0,program_apg_pr,0.34213512377531147,0.34213512377531147
apg_pr,program_apg_c2,-0.34213512377531147,0.34213512377531147
apg_pr,program_apg_pr,0.34213512377531147,0.34213512377531147
apg_pr,program_apg_d_4_0,0.34213512377531147,0.34213512377531147
apg_c2,program_apg_d_4_0,-0.34213512377531147,0.34213512377531147
apg_c2,program_apg_c2,0.34213512377531147,0.34213512377531147
apg_d_4_0,program_apg_c2,-0.34213512377531147,0.34213512377531147
apg_d_4_0,program_apg_d_4_0,0.34213512377531147,0.34213512377531147
apg_c2,program_apg_pr,-0.34213512377531147,0.34213512377531147
apg_d_3_0,program_apg_d_2_5,0.3416734592478196,0.3416734592478196
apg_d_6_0,program_apg_cmax,-0.34146902229955534,0.34146902229955534
apg_d_4_0,program_apg_integrated_2_6,0.34049924560321865,0.34049924560321865
apg_pr,program_apg_integrated_2_6,0.34049924560321865,0.34049924560321865
apg_c2,program_apg_integrated_2_6,-0.34049924560321865,0.34049924560321865
apg_integrated_2_6,program_apg_d_2_25,0.3390915526638571,0.3390915526638571
apg_d_2_25,program_apg_neff,0.3357724946783952,0.3357724946783952
apg_d_2_25,program_apg_entropy_norm,0.3357724946783952,0.3357724946783952
apg_d_2_5,program_apg_d_2_25,0.3313367346627857,0.3313367346627857
apg_cmax,program_apg_neff,-0.33112180421124654,0.33112180421124654
apg_cmax,program_apg_entropy_norm,-0.33112180421124654,0.33112180421124654
apg_c2,program_apg_d_5_0,-0.326681495916527,0.326681495916527
apg_pr,program_apg_d_5_0,0.326681495916527,0.326681495916527
apg_d_4_0,program_apg_d_5_0,0.326681495916527,0.326681495916527
apg_integrated_2_6,program_apg_d_2_5,0.3265520783983173,0.3265520783983173
apg_entropy_norm,program_apg_entropy_norm,0.3246249332408717,0.3246249332408717
apg_neff,program_apg_entropy_norm,0.3246249332408717,0.3246249332408717
apg_neff,program_apg_neff,0.3246249332408717,0.3246249332408717
apg_entropy_norm,program_apg_neff,0.3246249332408717,0.3246249332408717
apg_d_3_0,program_apg_d_3_0,0.3229369686411038,0.3229369686411038
apg_d_2_25,program_apg_d_2_25,0.32001578238808404,0.32001578238808404
apg_d_2_5,program_apg_d_2_5,0.3187965391452305,0.3187965391452305
apg_cmax,program_apg_d_2_25,-0.31794490800846203,0.31794490800846203
apg_d_5_0,program_apg_cmax,-0.316865315320378,0.316865315320378
apg_pr,program_apg_d_6_0,0.3157382975812701,0.3157382975812701
apg_c2,program_apg_d_6_0,-0.3157382975812701,0.3157382975812701
apg_d_4_0,program_apg_d_6_0,0.3157382975812701,0.3157382975812701
apg_entropy_norm,program_apg_d_2_25,0.3088519820337572,0.3088519820337572
apg_neff,program_apg_d_2_25,0.3088519820337572,0.3088519820337572
apg_integrated_2_6,program_apg_d_3_0,0.3078189107902491,0.3078189107902491
apg_d_2_25,program_apg_d_2_5,0.30748638741618084,0.30748638741618084
apg_cmax,program_apg_d_2_5,-0.30730447157919083,0.30730447157919083
apg_d_2_5,program_apg_d_3_0,0.300072363160574,0.300072363160574
apg_d_3_0,program_apg_c2,-0.2987868317493274,0.2987868317493274
apg_d_3_0,program_apg_pr,0.2987868317493274,0.2987868317493274
apg_d_3_0,program_apg_d_4_0,0.2987868317493274,0.2987868317493274
apg_d_3_0,program_apg_integrated_2_6,0.29709193657799204,0.29709193657799204
apg_entropy_norm,program_apg_d_2_5,0.29633527833172557,0.29633527833172557
apg_neff,program_apg_d_2_5,0.29633527833172557,0.29633527833172557
apg_cmax,program_apg_d_3_0,-0.29084351309584167,0.29084351309584167
apg_d_2_25,program_apg_d_3_0,0.2887880347281396,0.2887880347281396
apg_integrated_2_6,program_apg_c2,-0.2836368013482496,0.2836368013482496
apg_integrated_2_6,program_apg_pr,0.2836368013482496,0.2836368013482496
apg_integrated_2_6,program_apg_d_4_0,0.2836368013482496,0.2836368013482496
apg_d_3_0,program_apg_d_5_0,0.28314609479323893,0.28314609479323893
apg_integrated_2_6,program_apg_integrated_2_6,0.2819204251356061,0.2819204251356061
apg_pr,program_apg_cmax,-0.2811475738581306,0.2811475738581306
apg_d_4_0,program_apg_cmax,-0.2811475738581306,0.2811475738581306
apg_c2,program_apg_cmax,0.2811475738581306,0.2811475738581306
apg_neff,program_apg_d_3_0,0.2776642824944089,0.2776642824944089
apg_entropy_norm,program_apg_d_3_0,0.2776642824944089,0.2776642824944089
apg_d_2_5,program_apg_d_4_0,0.27589114949343785,0.27589114949343785
apg_d_2_5,program_apg_pr,0.27589114949343785,0.27589114949343785
apg_d_2_5,program_apg_c2,-0.27589114949343785,0.27589114949343785
apg_d_2_5,program_apg_integrated_2_6,0.27416681876713805,0.27416681876713805
apg_d_3_0,program_apg_d_6_0,0.2720145998759076,0.2720145998759076
apg_cmax,program_apg_pr,-0.26846855556891713,0.26846855556891713
apg_cmax,program_apg_d_4_0,-0.26846855556891713,0.26846855556891713
apg_cmax,program_apg_c2,0.26846855556891713,0.26846855556891713
apg_integrated_2_6,program_apg_d_5_0,0.2679411368471731,0.2679411368471731
apg_cmax,program_apg_integrated_2_6,-0.26644766348746673,0.26644766348746673
apg_d_2_25,program_apg_d_4_0,0.2646133849344555,0.2646133849344555
apg_d_2_25,program_apg_c2,-0.2646133849344555,0.2646133849344555
apg_d_2_25,program_apg_pr,0.2646133849344555,0.2646133849344555
apg_d_2_25,program_apg_integrated_2_6,0.262875555489692,0.262875555489692
apg_d_2_5,program_apg_d_5_0,0.26018209744167875,0.26018209744167875
apg_integrated_2_6,program_apg_d_6_0,0.25674983398312257,0.25674983398312257
apg_entropy_norm,program_apg_pr,0.2534959734372696,0.2534959734372696
apg_entropy_norm,program_apg_c2,-0.2534959734372696,0.2534959734372696
apg_neff,program_apg_pr,0.2534959734372696,0.2534959734372696
apg_neff,program_apg_d_4_0,0.2534959734372696,0.2534959734372696
apg_entropy_norm,program_apg_d_4_0,0.2534959734372696,0.2534959734372696
apg_neff,program_apg_c2,-0.2534959734372696,0.2534959734372696
apg_cmax,program_apg_d_5_0,-0.2531230189450851,0.2531230189450851
apg_neff,program_apg_integrated_2_6,0.2517438104504116,0.2517438104504116
apg_entropy_norm,program_apg_integrated_2_6,0.2517438104504116,0.2517438104504116
apg_d_2_5,program_apg_d_6_0,0.2489713781190219,0.2489713781190219
apg_d_2_25,program_apg_d_5_0,0.2488814584314515,0.2488814584314515
apg_cmax,program_apg_d_6_0,-0.2418210675721547,0.2418210675721547
apg_entropy_norm,program_apg_d_5_0,0.2377414461341504,0.2377414461341504
apg_neff,program_apg_d_5_0,0.2377414461341504,0.2377414461341504
apg_d_2_25,program_apg_d_6_0,0.237638374735747,0.237638374735747
apg_d_3_0,program_apg_cmax,-0.23667018861850483,0.23667018861850483
apg_entropy_norm,program_apg_d_6_0,0.22646564796773344,0.22646564796773344
apg_neff,program_apg_d_6_0,0.22646564796773344,0.22646564796773344
apg_integrated_2_6,program_apg_cmax,-0.22116331213152723,0.22116331213152723
apg_d_2_5,program_apg_cmax,-0.21328187607834684,0.21328187607834684
apg_cmax,program_apg_cmax,0.20535642018765993,0.20535642018765993
apg_d_2_25,program_apg_cmax,-0.2017931970853463,0.2017931970853463
apg_entropy_norm,program_apg_cmax,-0.1904572298880872,0.1904572298880872
apg_neff,program_apg_cmax,-0.1904572298880872,0.1904572298880872
